id,tweet_text,status,scheduled_slot,posted_at,posted_tweet_id
11,"Okuduğum kadarıyla profesyonel işlemciler kazanma oranından çok risk/getiri oranına bakıyor. Ben de artık bu tarafa odaklanmaya çalışıyorum.

#TradeÖğreniyorum 11",pending,,,
12,"Bugün bir işlemi planladığım gibi kapattım, kâr azdı ama plana uydum. Küçük ama bana tuhaf bir şekilde gurur verdi.

#TradeÖğreniyorum 12",pending,,,
13,"Kiyosaki'nin Rich Dad Poor Dad kitabında finansal okuryazarlığın okulda öğretilmediğinden bahsediyor. Ben de bu boşluğu şimdi kapatmaya çalışıyorum.

#TradeÖğreniyorum 13 #FinansalOkuryazarlık",pending,,,
14,"Defterime not düştüğüm bir şey: stop-loss koymamak, riski yönetmek değil, riski görmezden gelmek oluyormuş.

#TradeÖğreniyorum 14 #RiskYönetimi",pending,,,
15,"Bugün araştırırken şunu öğrendim: destek ve direnç seviyeleri kesin çizgiler değil, olasılık bölgeleriymiş. Bu beni biraz rahatlattı açıkçası.

#TradeÖğreniyorum 15 #TeknikAnaliz",pending,,,
16,"Bir süredir üzerinde düşündüğüm konu: disiplin motivasyondan bağımsız çalışan bir sistemmiş. Motivasyon gidince sistem devreye giriyor.

#TradeÖğreniyorum 16 #Disiplin",pending,,,
17,"Bugün kendimle ilgili bir şey fark ettim: kayıp sonrası hemen yeni bir işlem açma isteğim var. Buna 'intikam işlemi' deniyormuş, artık adını biliyorum.

#TradeÖğreniyorum 17 #TradePsikolojisi",pending,,,
18,"Notlarıma bunu da ekledim: bir stratejinin işe yaraması için önce sabırla test edilmesi gerekiyor, tek seferde sonuç beklemek yanlış.

#TradeÖğreniyorum 18 #Sabır",pending,,,
19,"Grafik incelerken fark ettiğim şey: aynı formasyon farklı zaman dilimlerinde farklı anlam taşıyabiliyor. Bu yüzden tek bir grafiğe güvenmiyorum artık.

#TradeÖğreniyorum 19 #TeknikAnaliz",pending,,,
20,"Bugünkü ders notum: kazanılan işlemden çok, kurallara uyularak alınan kararı değerlendirmem gerekiyormuş. Sonuç değil süreç önemliymiş.

#TradeÖğreniyorum 20",pending,,,
21,"Okuduğum kadarıyla çoğu deneyimli işlemci bile zaman zaman FOMO yaşıyor. Fark, ona göre hareket edip etmemekte.

#TradeÖğreniyorum 21 #FOMO",pending,,,
22,"Bu hafta üzerine kafa yorduğum konu: sermayenin ne kadarını riske atacağımı işlemden önce belirlemek, işlem sırasında değil.

#TradeÖğreniyorum 22 #RiskYönetimi",pending,,,
23,"Bir podcast dinlerken not aldığım cümle: 'Piyasa seni test etmiyor, sen kendini test ediyorsun.' Basit ama düşündürücü geldi.

#TradeÖğreniyorum 23",pending,,,
24,"Geriye dönük baktığımda en kötü işlemlerimin çoğu, plansız girdiğim anlarda olmuş. Plan yokken heyecan devreye giriyor.

#TradeÖğreniyorum 24",pending,,,
25,"Bugün araştırırken şunu öğrendim: teknik analiz kesin tahmin aracı değil, olasılık haritası çıkarma yöntemiymiş.

#TradeÖğreniyorum 25 #TeknikAnaliz",pending,,,
26,"Kendi hatalarımdan çıkardığım sonuç: aynı hatayı üçüncü kez yaptığımda artık tesadüf değil, alışkanlık olduğunu kabul ediyorum.

#TradeÖğreniyorum 26",pending,,,
27,"Notlarıma bunu da ekledim: risk yönetimi olmadan kazanan bir strateji bile uzun vadede sermayeyi eritebiliyormuş.

#TradeÖğreniyorum 27 #SermayeKoruma",pending,,,
28,"Thibaut Meurisse, Stratejik Düşünme Yapısı kitabında net hedefler olmadan planın da anlamsızlaştığını yazıyor. Trade için de geçerli bence.

#TradeÖğreniyorum 28",pending,,,
29,"Bu bakış açısı bana mantıklı geldi: piyasada haklı çıkmakla para kazanmak farklı şeylermiş. Ben genelde haklı çıkmaya odaklanıyordum.

#TradeÖğreniyorum 29",pending,,,
30,"Bugün kendimle ilgili bir şey fark ettim: kaybettiğim işlemden sonra ekranı kapatmak yerine hemen yenisini açma isteğim var. Buna dikkat ediyorum.

#TradeÖğreniyorum 30 #TradePsikolojisi",pending,,,
31,"İşlem günlüğümü karıştırırken gördüm ki en disiplinli olduğum haftalarda sonuç değil, süreç iyiydi. Sonuç zaten arkasından geliyor.

#TradeÖğreniyorum 31 #İşlemGünlüğü",pending,,,
32,"Okuduğum kadarıyla sabır, trade'de bir erdem değil teknik bir gereklilikmiş. Sinyal gelmeden işlem açmak sadece şans oyunu oluyor.

#TradeÖğreniyorum 32 #Sabır",pending,,,
33,"Bugünkü ders notum: küçük pozisyonlarla başlamak sıkıcı geliyor ama sıkıcı olan genelde doğru olan oluyor.

#TradeÖğreniyorum 33 #Disiplin",pending,,,
34,"Bir video izlerken aklıma takıldı: herkesin kazandığını gördüğüm dönemler genelde piyasanın en riskli olduğu dönemlermiş.

#TradeÖğreniyorum 34 #FOMO",pending,,,
35,"Notlarıma bunu da ekledim: risk/ödül oranı 1'in altında olan bir işleme, ne kadar 'emin' olursam olayım artık girmiyorum.

#TradeÖğreniyorum 35 #RiskYönetimi",pending,,,
36,"Geçenlerde fark ettim ki grafik başında geçirdiğim süre arttıkça karar kalitem düşüyor. Bir noktadan sonra bakmak yorumlamaktan çıkıp saplantıya dönüşüyor.

#TradeÖğreniyorum 36",pending,,,
37,"Bugün araştırırken şunu öğrendim: hareketli ortalamalar geleceği göstermiyor, geçmişin ortalamasını özetliyor. Bu ayrımı unutmamam gerekiyor.

#TradeÖğreniyorum 37 #TeknikAnaliz",pending,,,
38,"Kendi hatalarımdan çıkardığım sonuç: pozisyonu büyütme isteğim genelde kazandığım günlerde artıyor. Tam da o an daha dikkatli olmam gerekiyormuş.

#TradeÖğreniyorum 38",pending,,,
39,"Mark Douglas'ın bir fikri bende iz bıraktı: piyasa geçmişteki hatalarımızı hatırlamıyor, biz hatırlıyoruz. Duygusal yük hep bizden geliyor.

#TradeÖğreniyorum 39",pending,,,
40,"Bugünkü ders notum: her gün işlem yapmak zorunda değilim. Bazen en iyi karar hiçbir şey yapmamakmış.

#TradeÖğreniyorum 40 #Disiplin",pending,,,
41,"Bir süredir üzerinde düşündüğüm konu: finansal okuryazarlık sadece grafik okumak değil, kendi harcama ve tasarruf alışkanlığımı da anlamakmış.

#TradeÖğreniyorum 41 #FinansalOkuryazarlık",pending,,,
42,"Okuduğum kadarıyla stop-loss'u sonradan değiştirmek, riski yönetmek değil riskle pazarlık yapmaya çalışmakmış. Bunu okuyunca kendimi yakaladım.

#TradeÖğreniyorum 42 #RiskYönetimi",pending,,,
43,"Bugün kendimle ilgili bir şey fark ettim: kayıptan sonra kendime çok sert davranıyorum. Bu da bir sonraki kararımı bozuyor galiba.

#TradeÖğreniyorum 43",pending,,,
44,"Notlarıma bunu da ekledim: bir stratejinin '%100 kazandırması' beklentisi zaten yanlış bir başlangıç noktasıymış.

#TradeÖğreniyorum 44",pending,,,
45,"Geriye dönük baktığımda, en çok pişman olduğum işlemler kaybettiklerim değil, plana uyduğum halde erken kapattıklarım oldu.

#TradeÖğreniyorum 45",pending,,,
46,"Bu hafta üzerine kafa yorduğum konu: piyasayı tahmin etmeye çalışmak yerine, olası senaryolara hazırlıklı olmak daha gerçekçi bir yaklaşımmış.

#TradeÖğreniyorum 46 #TeknikAnaliz",pending,,,
47,"Bugün araştırırken şunu öğrendim: hacim, fiyat hareketinin arkasındaki 'inandırıcılığı' gösteriyormuş. Sadece fiyata bakmak eksik kalıyor.

#TradeÖğreniyorum 47 #TeknikAnaliz",pending,,,
48,"Kiyosaki'nin bir sözü aklımda kaldı: varlık, cebine para koyan; yükümlülük ise cebinden para alandır. Trade sermayemi de bu gözle değerlendirmeye başladım.

#TradeÖğreniyorum 48 #FinansalOkuryazarlık",pending,,,
49,"Bir podcast dinlerken not aldığım cümle: 'Disiplin, doğru olanı canın istemediğinde de yapmaktır.' Trade için tam olarak bu.

#TradeÖğreniyorum 49 #Disiplin",pending,,,
50,"Bugünkü ders notum: her kırmızı gün bir felaket değilmiş, sadece serinin bir parçasıymış. Tek günü büyütmek yorucu bir alışkanlık.

#TradeÖğreniyorum 50",pending,,,
51,"Kendi hatalarımdan çıkardığım sonuç: kayıp sonrası pozisyon büyüklüğümü artırmak yerine küçültmem gerekiyormuş, tam tersini yapıyordum.

#TradeÖğreniyorum 51 #RiskYönetimi",pending,,,
52,"Okuduğum kadarıyla FOMO'nun en güçlü olduğu an, fiyatın zaten büyük bir kısmını hareket ettirdiği an oluyor. Geç kalmışlık hissi orada başlıyor.

#TradeÖğreniyorum 52 #FOMO",pending,,,
53,"Bugün kendimle ilgili bir şey fark ettim: telefonu sürekli kontrol etmek beni sakinleştirmiyor, tam tersine kaygımı büyütüyor.

#TradeÖğreniyorum 53",pending,,,
54,"Notlarıma bunu da ekledim: bir işlemi kapatma sebebim 'plan öyle diyordu' olmalı, 'içim rahat etmedi' olmamalı.

#TradeÖğreniyorum 54",pending,,,
55,"Bir video izlerken aklıma takıldı: en iyi işlemciler bile kayıplarını sıfıra indiremiyor, sadece kayıplarını küçük tutmayı öğreniyorlarmış.

#TradeÖğreniyorum 55",pending,,,
56,"Bugün araştırırken şunu öğrendim: trend takibi ile trend tahmini farklı şeylermiş. Ben genelde tahmin etmeye çalışıyordum, takip etmeyi öğreniyorum.

#TradeÖğreniyorum 56 #TeknikAnaliz",pending,,,
57,"Geçenlerde fark ettim ki işlem sonrası kendimi değerlendirirken sadece kâr-zarara bakıyorum. Karar sürecimi de not almam lazım.

#TradeÖğreniyorum 57 #İşlemGünlüğü",pending,,,
58,"Bu bakış açısı bana mantıklı geldi: sermayeyi korumak savunma değil, uzun vadeli oyunun ön koşuluymuş.

#TradeÖğreniyorum 58 #SermayeKoruma",pending,,,
59,"Kendi hatalarımdan çıkardığım sonuç: aynı anda çok fazla enstrümanı takip etmek, hiçbirini iyi takip edememe sonucu doğuruyor.

#TradeÖğreniyorum 59",pending,,,
60,"Bugünkü ders notum: bir haftayı kâr-zarar üzerinden değil, kurallara ne kadar uyduğuma göre değerlendirmeye başladım.

#TradeÖğreniyorum 60 #Disiplin",pending,,,
61,"Thibaut Meurisse'in bir fikri aklımda kaldı: net olmayan hedef, net olmayan sonuç doğurur. Trade planımı yazılı hale getirme sebebim bu.

#TradeÖğreniyorum 61",pending,,,
62,"Bir süredir üzerinde düşündüğüm konu: piyasada 'her zaman doğru olma' isteğim, aslında en pahalı alışkanlığımmış.

#TradeÖğreniyorum 62",pending,,,
63,"Okuduğum kadarıyla deneyimli işlemciler bile zarar kesiyor, fark ettikleri şey zararı büyütmeden kesebilmeleri.

#TradeÖğreniyorum 63 #RiskYönetimi",pending,,,
64,"Bugün kendimle ilgili bir şey fark ettim: kazandığım işlemden sonra bir sonrakine daha az dikkatle giriyorum. Bu döngüyü kırmam gerekiyor.

#TradeÖğreniyorum 64",pending,,,
65,"Notlarıma bunu da ekledim: piyasa haberlerini takip etmek faydalı ama her haberde pozisyon almak farklı bir şey.

#TradeÖğreniyorum 65",pending,,,
66,"Geriye dönük baktığımda, en sağlıklı kararlarımı sakin olduğum günlerde almışım. Bu yüzden artık ruh halimi de not alıyorum.

#TradeÖğreniyorum 66 #TradePsikolojisi",pending,,,
67,"Bugün araştırırken şunu öğrendim: RSI gibi göstergeler tek başına sinyal değil, teyit aracıymış. Yalnız başına karar vermek için yeterli değilmiş.

#TradeÖğreniyorum 67 #TeknikAnaliz",pending,,,
68,"Kendi hatalarımdan çıkardığım sonuç: kayıp sonrası piyasadan uzaklaşmak yerine hemen telafi etmeye çalışmak beni daha çok yoruyor.

#TradeÖğreniyorum 68",pending,,,
69,"Bir podcast dinlerken not aldığım cümle: 'Piyasada kalabilmek, piyasayı yenmekten daha önemlidir.' Bunu defterimin başına yazdım.

#TradeÖğreniyorum 69 #Sabır",pending,,,
70,"Bugünkü ders notum: her gün grafiğe bakmak öğrenmek değilmiş, bazen sadece kaygımı beslemek oluyormuş.

#TradeÖğreniyorum 70",pending,,,
71,"Mark Douglas'ın Güvenli Trade Sanatı kitabında geçen bir fikir: piyasa objektiftir, yorumu subjektif yapan bizizdir. Bunu unutmamaya çalışıyorum.

#TradeÖğreniyorum 71",pending,,,
72,"Bir süredir üzerinde düşündüğüm konu: 'kesin kazandırır' diye anlatılan her yöntemden biraz şüphelenmeyi öğrendim.

#TradeÖğreniyorum 72 #FinansalOkuryazarlık",pending,,,
73,"Okuduğum kadarıyla pozisyon boyutu, güven seviyesine göre değil, riske göre belirlenmeliymiş. Bu ikisini karıştırdığımı fark ettim.

#TradeÖğreniyorum 73 #RiskYönetimi",pending,,,
74,"Bugün kendimle ilgili bir şey fark ettim: kayıp sonrası kendimi suçlamak yerine süreci gözden geçirmek daha faydalı oluyor.

#TradeÖğreniyorum 74",pending,,,
75,"Notlarıma bunu da ekledim: her trend sonsuza kadar sürmüyor, bu yüzden 'bu sefer farklı' cümlesine karşı temkinli olmaya çalışıyorum.

#TradeÖğreniyorum 75",pending,,,
76,"Bir video izlerken aklıma takıldı: profesyonel işlemciler kayıplarını gizlemiyor, tam tersine en çok onlardan ders çıkarıyorlar.

#TradeÖğreniyorum 76",pending,,,
77,"Bugün araştırırken şunu öğrendim: destek kırılması bazen sahte sinyal olabiliyormuş, buna 'yalancı kırılım' deniyormuş. Yeni öğrendiğim bir terim.

#TradeÖğreniyorum 77 #TeknikAnaliz",pending,,,
78,"Geçenlerde fark ettim ki işlem yapmadığım günlerde bile piyasayı takip etmek beni yoruyor. Ekranla aramda sınır koymam gerekiyor.

#TradeÖğreniyorum 78",pending,,,
79,"Bu bakış açısı bana mantıklı geldi: kayıpları bir başarısızlık değil, öğrenme sürecinin maliyeti olarak görmek daha sağlıklı.

#TradeÖğreniyorum 79",pending,,,
80,"Kiyosaki'nin bir cümlesi aklımda kaldı: para konusunda eğitimsiz kalmak, en pahalı hatadır. Bu yüzden önce okumayı bırakmıyorum.

#TradeÖğreniyorum 80 #FinansalOkuryazarlık",pending,,,
81,"Bugünkü ders notum: sermaye küçükken bile disiplinli davranmak, sermaye büyüdüğünde davranışın değişmeyeceğinin garantisi değil ama iyi bir başlangıç.

#TradeÖğreniyorum 81 #SermayeKoruma",pending,,,
82,"Kendi hatalarımdan çıkardığım sonuç: bir stratejiyi test etmeden önce yeterince sabırlı davranmıyormuşum, sonuçları erken yargılıyormuşum.

#TradeÖğreniyorum 82 #Sabır",pending,,,
83,"Notlarıma bunu da ekledim: 'içgüdü' dediğim şey çoğu zaman geçmiş kayıplarımın yarattığı korku oluyormuş.

#TradeÖğreniyorum 83 #TradePsikolojisi",pending,,,
84,"Bir süredir üzerinde düşündüğüm konu: risk yönetimi olmadan bir stratejinin iyi ya da kötü olduğunu değerlendirmek pek anlamlı değilmiş.

#TradeÖğreniyorum 84 #RiskYönetimi",pending,,,
85,"Okuduğum kadarıyla bir işlemi kapatma kararını duygusal an yerine önceden belirlenmiş seviyeye göre vermek gerekiyormuş. Bunu uygulamaya çalışıyorum.

#TradeÖğreniyorum 85",pending,,,
86,"Bugün kendimle ilgili bir şey fark ettim: kaybettiğim gün sosyal medyada başkalarının kazancını görmek FOMO'mu ikiye katlıyor.

#TradeÖğreniyorum 86 #FOMO",pending,,,
87,"Bugün araştırırken şunu öğrendim: zaman dilimini değiştirmek bazen aynı grafikte tamamen farklı bir hikaye görmemi sağlıyormuş.

#TradeÖğreniyorum 87 #TeknikAnaliz",pending,,,
88,"Geriye dönük baktığımda, en çok geliştiğim dönemler kazandığım değil, hatalarımı yazıya döktüğüm dönemler oldu.

#TradeÖğreniyorum 88 #İşlemGünlüğü",pending,,,
89,"Thibaut Meurisse'in bir fikri: küçük ve tutarlı adımlar, büyük ve düzensiz çabalardan daha güvenilir sonuç verir. Trade'e de böyle bakmaya çalışıyorum.

#TradeÖğreniyorum 89",pending,,,
90,"Bugünkü ders notum: piyasada 'her zaman işlemde olmam' gerekmiyor, nakitte kalmak da bir pozisyonmuş.

#TradeÖğreniyorum 90 #Disiplin",pending,,,
91,"Bir podcast dinlerken not aldığım cümle: 'Kayıpları küçük tut, sabrı büyük tut.' Basit ama bugünlerde çok işime yarayan bir hatırlatma.

#TradeÖğreniyorum 91 #Sabır",pending,,,
92,"Okuduğum kadarıyla piyasa döngüleri tekrar ediyor ama aynı şekilde tekrar etmiyor. Bu yüzden geçmiş formasyonlara körü körüne güvenmiyorum.

#TradeÖğreniyorum 92 #TeknikAnaliz",pending,,,
93,"Notlarıma bunu da ekledim: sermayemi korumak için önce hangi durumlarda dikkatimin dağıldığını fark etmem gerekiyormuş.

#TradeÖğreniyorum 93 #SermayeKoruma",pending,,,
94,"Bir video izlerken aklıma takıldı: birçok işlemci strateji değil disiplin eksikliğinden kaybediyor. Strateji bulmak, uygulamaktan daha kolaymış.

#TradeÖğreniyorum 94 #Disiplin",pending,,,
95,"Bugün kendimle ilgili bir şey fark ettim: kaybettiğim işlemden sonra hemen ekranı kapatmak, bana intikam işlemi yapmaktan daha çok iyi geliyor.

#TradeÖğreniyorum 95",pending,,,
96,"Kendi hatalarımdan çıkardığım sonuç: 'bu sefer emin olduğum' işlemler genelde en büyük kayıplarımı getirdi. Aşırı güven de bir risk faktörüymüş.

#TradeÖğreniyorum 96 #TradePsikolojisi",pending,,,
97,"Bir süredir üzerinde düşündüğüm konu: finansal özgürlük hemen değil, küçük ve sürdürülebilir alışkanlıklarla geliyormuş. Bunu kabullenmek zaman aldı.

#TradeÖğreniyorum 97 #FinansalOkuryazarlık",pending,,,
98,"Bugün araştırırken şunu öğrendim: bir grafikte gördüğüm formasyon, kendi beklentimi doğrulamak için zorlama bir yorum olabiliyormuş. Buna dikkat ediyorum.

#TradeÖğreniyorum 98 #TeknikAnaliz",pending,,,
99,"Bugünkü ders notum: bir stratejiyi değiştirmeden önce en az birkaç haftalık veriyle test etmem gerekiyormuş. Tek kötü gün bir stratejiyi çöpe atmak için yeterli değilmiş.

#TradeÖğreniyorum 99 #TeknikAnaliz",pending,,,
100,"Notlarıma bunu da ekledim: bu sürecin sonunda hızlı kazanmaktan çok, uzun süre oyunda kalabilen biri olmayı hedefliyorum.

#TradeÖğreniyorum 100",pending,,,
